  x      sigx     y      sigy  
-10.6959 0.0823 -10.1608 0.0321 
-10.7349 0.0798 -10.1890 0.0320 
-10.7681 0.0773 -10.2086 0.0334 
-10.7971 0.0752 -10.2263 0.0328 
-10.8251 0.0733 -10.2499 0.0339 
-10.8533 0.0720 -10.2791 0.0364 
-10.8752 0.0707 -10.3000 0.0331 
-10.8978 0.0697 -10.3135 0.0320 
-10.9213 0.0691 -10.3195 0.0328 
-10.9460 0.0687 -10.3377 0.0352 
-10.9685 0.0684 -10.3423 0.0365 
-10.9914 0.0681 -10.3529 0.0364 
-11.0183 0.0680 -10.3694 0.0388 
-11.0464 0.0680 -10.3850 0.0405 
-11.0723 0.0679 -10.4003 0.0361 
-11.0973 0.0679 -10.4086 0.0322 
-11.1223 0.0679 -10.4227 0.0324 
-11.1482 0.0679 -10.4430 0.0322 
-11.1743 0.0678 -10.4500 0.0354 
-11.2021 0.0679 -10.4628 0.0417 
-11.2287 0.0679 -10.4626 0.0405 
-11.2562 0.0679 -10.4749 0.0518 
-11.2828 0.0679 -10.4930 0.0627 
-11.3096 0.0679 -10.5176 0.0603 
-11.3311 0.0679 -10.5225 0.0516 
-11.3466 0.0678 -10.5205 0.0480 
-11.3621 0.0678 -10.5377 0.0464 
-11.3767 0.0678 -10.5547 0.0378 
-9.5275 0.0883 -9.3973 0.0525 
-9.7796 0.0970 -9.5979 0.0327 
-10.0886 0.0980 -9.7991 0.0331 
-10.2693 0.0974 -9.9495 0.0335 
-10.4856 0.0954 -10.1776 0.0657 
-10.6517 0.0941 -10.1701 0.0523 
-10.7963 0.0939 -10.3389 0.0574 
-10.9230 0.0944 -10.5004 0.0633 
-11.1267 0.0946 -10.5413 0.0600 
-11.2124 0.0946 -10.6103 0.0616 
-11.2898 0.0947 -10.6707 0.0736 
-9.2975 0.0859 -9.1162 0.0722 
-9.3545 0.0836 -9.1202 0.0698 
-9.4063 0.0812 -9.1424 0.0623 
-9.4505 0.0796 -9.1682 0.0598 
-9.4899 0.0784 -9.1963 0.0597 
-9.5251 0.0776 -9.2337 0.0622 
-9.5585 0.0771 -9.2510 0.0621 
-9.5907 0.0768 -9.2639 0.0673 
-9.6189 0.0768 -9.2851 0.0629 
-9.6403 0.0769 -9.3063 0.0603 
-9.6604 0.0772 -9.3236 0.0619 
-9.6792 0.0775 -9.3352 0.0610 
-9.6973 0.0778 -9.3656 0.0804 
-9.7126 0.0782 -9.3794 0.0859 
-9.7296 0.0785 -9.3907 0.0618 
-9.7497 0.0788 -9.4039 0.0619 
-9.7689 0.0790 -9.4257 0.0669 
-9.7904 0.0791 -9.4366 0.0645 
-9.8132 0.0790 -9.4532 0.0638 
-9.8319 0.0790 -9.4706 0.0681 
-9.8493 0.0790 -9.4879 0.0681 
-9.8659 0.0790 -9.4962 0.0626 
-9.8819 0.0790 -9.5123 0.0657 
-9.8985 0.0789 -9.5283 0.0646 
-9.9525 0.0780 -9.5612 0.0585 
-10.0687 0.0765 -9.6386 0.0585 
-10.1858 0.0768 -9.7271 0.0586 
-10.2876 0.0771 -9.8047 0.0597 
-10.3683 0.0747 -9.8512 0.0597 
-10.4239 0.0713 -9.8933 0.0597 
-10.4889 0.0697 -9.9375 0.0597 
-10.5670 0.0700 -9.9818 0.0587 
-10.6400 0.0699 -10.0265 0.0587 
-10.7000 0.0696 -10.0547 0.0587 
-10.7536 0.0687 -10.0863 0.0588 
-10.7949 0.0670 -10.1222 0.0588 
-10.8285 0.0652 -10.1535 0.0580 
-10.8579 0.0639 -10.2006 0.0580 
-10.8916 0.0629 -10.2329 0.0580 
-10.9274 0.0624 -10.2577 0.0581 
-10.9675 0.0623 -10.2686 0.0589 
-11.0099 0.0625 -10.2774 0.0589 
-11.0548 0.0628 -10.2838 0.0588 
-11.0935 0.0629 -10.2865 0.0588 
-11.1231 0.0626 -10.3161 0.0588 
-11.1408 0.0619 -10.3285 0.0588 
-11.1555 0.0611 -10.3293 0.0598 
-11.1694 0.0605 -10.3479 0.0598 
-11.1874 0.0602 -10.3569 0.0612 
-11.2094 0.0600 -10.3564 0.0610 
-9.1319 0.1086 -9.2572 0.1426 
-9.2163 0.1086 -9.2560 0.1400 
-9.2864 0.1086 -9.3017 0.1391 
-9.3422 0.1085 -9.2197 0.1369 
-9.3394 0.1083 -9.2595 0.1345 
